postcode,latitude,longitude,region,month,temperature_c,humidity_pct,wind_speed_kmh,drought_factor,days_since_rain,rainfall_mm,vegetation_density,elevation_m,ffdi,frp_nearby,risk_score,risk_label
3444,-37.13566401223289,144.61082225404755,Kyneton,4,12.58,60.27,36.23,7.36,29.6,0.0,0.267,604.2,4.09,0.0,18.93,Low
4380,-28.751335980786504,151.9959711805781,Stanthorpe,12,25.09,27.48,27.86,10.0,15.1,0.0,0.511,771.3,21.49,0.0,55.97,High
2650,-35.11666713607457,147.2610832876588,Wagga Wagga,4,15.92,44.27,41.04,6.12,4.2,2.48,0.587,493.9,7.41,0.0,18.67,Low
2630,-36.463783838610325,148.4016608930557,Cooma,8,13.35,62.65,57.25,6.67,23.0,0.0,0.834,692.2,5.73,0.32,22.47,Low
4000,-27.38367417657123,152.91777884890902,Brisbane CBD,8,13.71,86.83,29.59,4.44,14.7,0.0,0.199,475.0,0.88,0.0,8.95,Low
7000,-42.89098359439188,147.3478556285756,Hobart,3,25.09,45.51,38.3,7.71,11.8,0.0,0.469,390.1,11.4,0.0,31.05,Moderate
6000,-31.967988907264598,115.84709076007319,Perth CBD,11,26.0,51.86,26.34,9.35,4.9,0.56,0.132,302.6,8.63,0.0,23.25,Low
3737,-36.76313691566891,146.92267635966292,Bright VIC,9,16.51,39.0,31.95,4.47,30.7,0.0,0.815,568.6,5.37,0.0,24.22,Low
3737,-36.75107491101699,146.98714114072575,Bright VIC,12,33.22,12.84,27.42,10.0,1.0,4.7,0.327,562.5,46.39,0.0,71.07,High
0800,-12.427545663368546,130.77885632316625,Darwin,6,15.23,84.33,18.79,6.07,1.9,9.02,0.422,587.4,1.07,0.0,11.35,Low
3737,-36.60304186418653,146.94299413971243,Bright VIC,9,13.61,73.57,29.73,5.85,67.2,0.0,0.3,756.4,1.83,0.0,22.88,Low
4570,-26.13753263038396,152.72625528307572,Gympie,9,15.92,78.56,25.06,6.46,1.9,0.88,0.517,468.6,1.65,15.91,13.66,Low
4570,-26.228589037474663,152.65614491452928,Gympie,4,12.23,71.24,41.27,4.45,23.1,0.0,0.333,403.0,1.89,0.0,16.22,Low
4000,-27.559162553108276,153.00784327697966,Brisbane CBD,11,21.39,28.86,17.22,10.0,27.9,0.0,0.182,376.9,14.1,104.24,31.38,Moderate
3820,-38.13677055120354,145.94261400135875,Traralgon,3,26.66,18.8,34.69,9.72,1.7,1.82,0.439,649.6,34.89,0.0,47.44,Moderate
4380,-28.70916328107272,151.9647497827096,Stanthorpe,2,38.2,31.89,30.41,10.0,19.3,0.0,0.606,529.0,30.52,0.1,66.16,High
4000,-27.564015629422627,152.99293572791802,Brisbane CBD,12,18.18,49.34,14.4,10.0,2.4,20.04,0.301,415.4,5.84,0.0,25.04,Moderate
5153,-34.97093544614869,138.70612921661427,Cherry Gardens,5,16.54,73.01,32.79,5.43,28.9,0.0,0.429,380.9,2.05,0.0,18.46,Low
2000,-33.85855147838848,151.17599978329412,Sydney CBD,10,10.89,93.31,19.45,3.56,2.4,13.64,0.13,221.6,0.41,0.0,4.8,Low
7000,-42.85161158161212,147.33740908656898,Hobart,1,25.36,38.66,30.8,8.31,16.8,0.0,0.057,495.6,13.16,0.0,38.3,Moderate
2650,-35.06696807105893,147.32584606707601,Wagga Wagga,1,32.15,34.17,36.86,10.0,18.7,0.0,0.477,590.1,26.73,0.0,59.17,High
6076,-31.87352822441731,116.0908054131136,Mundaring,2,30.15,24.74,32.56,10.0,12.7,0.0,0.436,537.5,31.3,0.0,64.63,High
2630,-36.38010963262169,148.54764298879198,Cooma,9,14.22,63.95,40.41,5.31,42.7,0.0,0.426,674.7,3.03,0.0,21.99,Low
2480,-28.8871156413255,153.12179522367683,Lismore,9,13.99,64.76,15.97,2.51,8.5,0.0,0.483,678.4,0.79,0.0,15.43,Low
7140,-42.59623533751659,146.49450362934908,Hamilton TAS,5,14.7,48.5,20.47,5.98,64.3,0.0,0.309,572.5,3.71,0.0,22.43,Low
3820,-38.11068938280527,146.0413095236827,Traralgon,7,14.45,39.44,28.93,6.84,3.5,3.6,0.229,563.7,7.0,0.0,16.84,Low
2630,-36.346417902277594,148.49773463971118,Cooma,6,15.2,78.01,47.83,5.07,7.4,0.0,0.717,779.0,2.2,0.0,18.16,Low
2480,-28.81877449128705,153.31489991456226,Lismore,12,35.25,25.27,37.21,10.0,6.1,16.51,0.345,678.4,40.69,16.14,66.93,High
4570,-26.21628775108404,152.5643646741468,Gympie,1,28.66,40.4,41.6,10.0,50.9,0.0,0.708,327.6,21.42,0.0,64.58,High
3737,-36.73539924821765,147.00635506299463,Bright VIC,12,34.93,19.69,32.77,10.0,65.4,0.0,0.119,723.7,43.99,0.0,84.37,Extreme
7000,-42.839622218419734,147.29778624099163,Hobart,1,32.73,29.48,35.23,8.62,13.5,0.0,0.415,436.6,26.66,0.0,51.33,High
6076,-31.891501354854633,116.15766225932141,Mundaring,9,18.39,31.88,40.28,7.78,11.5,0.0,0.625,824.7,15.38,0.0,24.91,Low
3000,-37.91854329140652,145.04143077727858,Melbourne CBD,11,15.41,45.26,33.91,8.71,2.9,0.73,0.034,360.0,8.43,0.0,19.08,Low
2630,-36.43167008769516,148.2130060106836,Jindabyne,1,28.44,21.9,44.37,10.0,109.6,0.0,0.076,515.9,42.94,2.76,95.52,Extreme
4000,-27.479576641195663,153.11823625664584,Brisbane CBD,4,13.33,72.99,40.44,3.75,2.6,1.07,0.264,236.6,1.53,0.0,9.31,Low
4570,-26.22132620913443,152.55039349718788,Gympie,10,14.35,67.35,41.64,6.79,30.3,0.0,0.387,417.2,3.56,0.0,18.27,Low
6000,-32.00407740018072,115.87091113662656,Perth CBD,10,12.97,81.59,48.63,5.77,1.6,2.97,0.088,315.3,2.08,0.0,8.41,Low
2630,-36.323691122623416,148.5654708320235,Cooma,10,17.45,51.31,47.84,6.41,23.0,0.0,0.491,601.0,7.5,0.0,22.68,Low
6000,-31.99537818310208,115.87186621923799,Perth CBD,6,8.82,85.19,18.79,3.52,2.9,1.68,0.409,356.1,0.49,0.0,7.13,Low
0800,-12.410625349714964,130.8782102194001,Darwin,8,14.22,75.94,34.53,5.65,12.9,0.0,0.656,563.9,1.86,0.0,14.78,Low
3820,-38.10695467830841,145.99641629817214,Traralgon,5,15.88,60.15,39.06,3.24,10.1,0.0,0.774,481.7,2.18,0.05,17.54,Low
3820,-38.09340415538905,146.03481755633263,Traralgon,7,12.13,56.95,33.28,6.23,11.6,0.0,0.397,521.1,3.57,30.42,16.15,Low
2480,-28.779713235023696,153.38990247711433,Lismore,5,13.71,45.99,39.94,6.29,9.1,0.0,0.533,605.0,6.49,0.0,19.39,Low
0800,-12.436020953778346,130.91915153969782,Darwin,1,22.14,34.58,11.28,4.38,8.1,0.0,0.636,551.3,4.58,0.0,38.24,Moderate
3820,-38.168938185789116,145.97862960287753,Traralgon,9,11.99,48.33,44.08,6.16,46.1,0.0,0.606,513.0,6.09,0.0,22.58,Low
5153,-35.01931557120217,138.66494177758287,Cherry Gardens,2,29.46,26.18,32.92,10.0,21.9,0.0,0.522,612.6,29.33,0.0,63.91,High
6000,-31.855658594393788,115.81051975898707,Perth CBD,8,16.9,78.99,24.88,5.22,16.7,0.0,0.276,245.9,1.35,0.0,10.37,Low
6076,-31.836493722671214,116.05907628914788,Mundaring,4,15.28,52.22,44.75,3.93,1.5,2.04,0.539,387.9,3.88,0.0,18.94,Low
0800,-12.45120216713894,130.81108430385365,Darwin,11,25.1,24.75,38.31,7.32,6.5,1.24,0.614,610.7,22.18,0.0,41.48,Moderate
6000,-31.8285076135673,115.95748662978006,Perth CBD,7,9.85,96.42,21.36,3.57,13.7,0.0,0.041,496.7,0.37,0.0,6.56,Low
0800,-12.408785670911032,130.8014738894583,Darwin,2,36.41,29.88,27.61,9.1,1.6,7.0,0.486,474.3,26.28,0.0,53.57,High
4000,-27.55466330873549,152.97497335574064,Brisbane CBD,6,10.45,88.75,8.95,4.4,17.9,0.0,0.396,386.2,0.45,0.0,8.38,Low
2580,-34.75484130186967,149.77926051457555,Goulburn,7,17.77,66.71,36.64,7.17,29.2,0.0,0.35,547.1,3.83,0.0,19.45,Low
4570,-26.229715128758176,152.74103840117337,Gympie,2,27.58,25.55,35.78,10.0,92.9,0.0,0.244,405.7,30.08,0.0,77.5,Extreme
4570,-26.318910771483125,152.61506000458786,Gympie,6,12.18,86.49,40.82,7.21,38.0,0.0,0.552,533.1,1.78,0.0,17.61,Low
4000,-27.500575890149598,152.9496669451576,Brisbane CBD,2,21.11,47.1,32.11,3.48,10.2,0.0,0.103,307.4,3.72,0.0,27.32,Moderate
